n_rows,mean_time,std_time,type
100,0.7315037250518799,0.0238093539305956,parallel
200,0.7399133841196696,0.0070908735350662,parallel
300,0.773622194925944,0.000899158185935,parallel
400,0.8295192718505859,0.0029674238099957,parallel
500,0.9009551207224528,0.0103711033556378,parallel
600,0.9463188648223876,0.0036583813101019,parallel
700,0.9697431723276774,0.0021281690613825,parallel
800,0.977381706237793,0.0060746972575754,parallel
900,0.9874815146128336,0.017422363945262,parallel
1000,0.9775726000467936,0.0037130776326962,parallel
